Item,BD Price,BD URL,US Price,US URL,Qty,Total BD,Total USD
Push Button 4 pin,5,https://store.roboticsbd.com/electronic-switches/1415-push-button-4-pin-robotics-bangladesh.html,0.02,https://www.aliexpress.us/item/2251832616036171.html?spm=a2g0o.productlist.main.54.21d44IoR4IoR8R&algo_pvid=773c0f03-bec8-4983-8bef-1103493b21d0&algo_exp_id=773c0f03-bec8-4983-8bef-1103493b21d0-53&pdp_ext_f=%7B%22order%22%3A%223%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.01%210.99%21%21%212.01%210.99%21%402101590d17656455797624230e1080%2164137199161%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ad8306c92%3Bm03_new_user%3A-29895%3BpisId%3A5000000187462896&curPageLogUid=cGo07UdCF3Zi&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A32802350923%7C_p_origin_prod%3A,50,25,2.01
ESP32 DEVKIT V1,427,https://store.roboticsbd.com/development-boards/948-esp32-esp-32s-30p-nodemcu-development-board-wireless-wifi-robotics-bangladesh.html,4.4,https://www.aliexpress.us/item/3256808703453847.html?spm=a2g0o.productlist.main.8.43be7404MN78yR&aem_p4p_detail=20251213090819829936899460600000904527&algo_pvid=5dacde7a-2a7e-4fb0-9f9d-2193a452108b&algo_exp_id=5dacde7a-2a7e-4fb0-9f9d-2193a452108b-7&pdp_ext_f=%7B%22order%22%3A%222070%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.86%210.99%21%21%2120.08%216.97%21%402101590d17656456991087312e1080%2112000047095028658%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ad8306c92%3Bm03_new_user%3A-29895%3BpisId%3A5000000187462899&curPageLogUid=PKY2yQQ8T5sI&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008889768599%7C_p_origin_prod%3A&search_p4p_id=20251213090819829936899460600000904527_2,1,427,4.4
N-Channel MOSFET,90,https://store.roboticsbd.com/27/2750-n-channel-mosfet-55v-30a-irlz34n-robotics-bangladesh.html,2.81,https://www.aliexpress.us/item/3256809056443947.html?spm=a2g0o.productlist.main.3.694d716dupejEa&algo_pvid=753b1763-5152-40df-9071-2b6e68a22cdc&algo_exp_id=753b1763-5152-40df-9071-2b6e68a22cdc-2&pdp_ext_f=%7B%22order%22%3A%22126%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.78%210.99%21%21%2119.53%216.98%21%402101590d17656457757601474e1080%2112000048445811254%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ad8306c92%3Bm03_new_user%3A-29895%3BpisId%3A5000000187462899&curPageLogUid=lXqd2yJp5h8F&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009242758699%7C_p_origin_prod%3A,10,90,2.81
"OLED Display 0.96""",290,https://store.roboticsbd.com/21/1328-096-inch-i2c-oled-display-white-robotics-bangladesh.html,1.51,https://www.aliexpress.us/item/3256808873087768.html?spm=a2g0o.productlist.main.16.5cb93c83oFlbqz&aem_p4p_detail=2025121309105011916673277849600000909057&algo_pvid=19d6b02e-3541-4ada-8ccc-8193f58ec1f8&algo_exp_id=19d6b02e-3541-4ada-8ccc-8193f58ec1f8-15&pdp_ext_f=%7B%22order%22%3A%22741%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.53%210.99%21%21%2110.73%216.92%21%402101590d17656458506662996e1080%2112000047762448539%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ad8306c92%3Bm03_new_user%3A-29895%3BpisId%3A5000000187462899&curPageLogUid=n5CgNvA3UuQh&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009059402520%7C_p_origin_prod%3A&search_p4p_id=2025121309105011916673277849600000909057_4,1,290,1.51
MicroSD Card Module,90,https://store.roboticsbd.com/191/2759-microsd-card-module-robotics-bangladesh.html,2.78,https://www.aliexpress.us/item/3256806636964149.html?spm=a2g0o.productlist.main.43.3ce638b5MCEXsi&algo_pvid=0a3076d8-3155-4e2d-bd81-c5a8b4c891ed&algo_exp_id=0a3076d8-3155-4e2d-bd81-c5a8b4c891ed-42&pdp_ext_f=%7B%22order%22%3A%22404%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.31%210.99%21%21%219.22%217.00%21%402140c1c317656459323168732e7bbf%2112000038418438949%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ad8306c92%3Bm03_new_user%3A-29895%3BpisId%3A5000000187462899&curPageLogUid=4xxrRHi3flrD&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006823278901%7C_p_origin_prod%3A,5,90,2.78
Mini Speaker 3W,250,https://store.roboticsbd.com/80/2470-3-watt-8-ohm-mini-speaker-for-electronics-project-with-jst-ph20-interface-robotics-bangladesh.html,2.99,https://www.aliexpress.us/item/3256809090347343.html?spm=a2g0o.productlist.main.19.66566475bLuxhh&algo_pvid=7a769dc1-f32a-4723-9b68-da0c2aac4a8e&algo_exp_id=7a769dc1-f32a-4723-9b68-da0c2aac4a8e-18&pdp_ext_f=%7B%22order%22%3A%2257%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.99%210.99%21%21%212.99%210.99%21%40213ba8cc17656460287092286e58e3%2112000048582617230%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ad8306c92%3Bm03_new_user%3A-29895%3BpisId%3A5000000187462899&curPageLogUid=6TROxhMAeGoW&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009276662095%7C_p_origin_prod%3A,1,250,2.99
Jumper Wires M-F,55,https://store.roboticsbd.com/188/2640-male-to-female-jumper-wires-20-pcs-20cm-robotics-bangladesh.html,7.92,https://www.aliexpress.us/item/3256809624262366.html?spm=a2g0o.productlist.main.4.47ae95QZ95QZuT&algo_pvid=88cff07c-31b6-4a79-b3e0-d9c98944ec3a&algo_exp_id=88cff07c-31b6-4a79-b3e0-d9c98944ec3a-3&pdp_ext_f=%7B%22order%22%3A%2221%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%217.92%210.99%21%21%2155.56%216.95%21%40212a6e3217656462149238341e857a%2112000050244674742%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ad8306c92%3Bm03_new_user%3A-29895%3BpisId%3A5000000187462896&curPageLogUid=f0EXTmItIgLJ&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009810577118%7C_p_origin_prod%3A,40,55,7.92
Jumper Wires M-M,55,https://store.roboticsbd.com/188/2639-male-to-male-jumper-wires-20-pcs-20cm-robotics-bangladesh.html,0,https://www.aliexpress.us/item/3256809624262366.html?spm=a2g0o.productlist.main.4.47ae95QZ95QZuT&algo_pvid=88cff07c-31b6-4a79-b3e0-d9c98944ec3a&algo_exp_id=88cff07c-31b6-4a79-b3e0-d9c98944ec3a-3&pdp_ext_f=%7B%22order%22%3A%2221%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%217.92%210.99%21%21%2155.56%216.95%21%40212a6e3217656462149238341e857a%2112000050244674742%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ad8306c92%3Bm03_new_user%3A-29895%3BpisId%3A5000000187462896&curPageLogUid=f0EXTmItIgLJ&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009810577118%7C_p_origin_prod%3A,1,55,0
Capacitor 100uf/50v,5,https://store.roboticsbd.com/119/1482-100uf50v-capacitor-robotics-bangladesh.html,2.55,https://www.aliexpress.us/item/3256805065754012.html?spm=a2g0o.productlist.main.3.cd863b94lmJAF9&aem_p4p_detail=20251213091943262172547523110000925119&algo_pvid=db0bc976-c655-4275-8853-690e6bbaad01&algo_exp_id=db0bc976-c655-4275-8853-690e6bbaad01-2&pdp_ext_f=%7B%22order%22%3A%22864%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.20%210.99%21%21%212.20%210.99%21%402140c1c317656463837005355e7b9f%2112000032366949483%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bd%3Ad8306c92%3Bm03_new_user%3A-29895%3BpisId%3A5000000187462899&curPageLogUid=pWvrtaZqpVqq&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005005252068764%7C_p_origin_prod%3A&search_p4p_id=20251213091943262172547523110000925119_3,50,5,2.55
TOTAL,,,,,,1287,26.97
